Designator,Mid X,Mid Y,Rotation,Layer
C1,162.23,-77.48,270.0,top
C10,162.6,-98.72,180.0,top
C11,153.93,-102.26,90.0,top
C12,150.82,-101.77,0.0,top
C13,147.41,-96.69,0.0,top
C14,147.44,-92.73,0.0,top
C15,147.46,-89.15,0.0,top
C16,152.48,-85.88,270.0,top
C17,153.47,-85.91,270.0,top
C18,158.11,-87.71,180.0,top
C19,160.86,-88.25,270.0,top
C2,164.24,-81.7,90.0,top
C20,158.13,-88.7,180.0,top
C21,156.22,-109.05,0.0,top
C22,153.19,-105.25,90.0,top
C23,149.52,-80.62,180.0,top
C24,137.65,-78.95,0.0,top
C25,175.64,-82.96,0.0,top
C3,167.05,-78.2,0.0,top
C4,162.61,-94.48,180.0,top
C5,156.24,-102.27,90.0,top
C6,147.43,-94.71,0.0,top
C7,162.6,-90.43,180.0,top
C8,162.6,-91.43,180.0,top
C9,162.6,-95.5,180.0,top
D1,161.9675,-81.0175,90.0,top
D2,174.38,-85.6,0.0,top
D3,175.79,-78.67,180.0,top
J1,155.33,-73.87,180.0,top
J2,176.63,-109.18,90.0,top
J3,141.07,-106.42,270.0,top
J4,154.835,-120.095,270.0,top
J5,147.705,-107.3,270.0,top
L1,158.41,-85.46,0.0,top
R1,161.22,-77.46,270.0,top
R10,146.88,-86.92,180.0,top
R11,146.88,-85.92,180.0,top
R12,142.5,-78.97,0.0,top
R13,137.56,-89.2,180.0,top
R14,169.51,-111.96,180.0,top
R15,132.85,-78.88,0.0,top
R16,173.22,-78.67,0.0,top
R2,153.6,-80.29,90.0,top
R3,156.56,-80.31,90.0,top
R4,167.02,-84.15,0.0,top
R5,163.26,-77.5,270.0,top
R6,155.55,-86.24,270.0,top
R7,154.51,-86.24,270.0,top
R8,160.88,-86.35,90.0,top
R9,154.97,-102.32,90.0,top
SW1,167.74,-71.78,180.0,top
SW2,166.92,-108.22,0.0,top
SW3,142.97,-73.62,0.0,top
U1,155.02,-94.92,90.0,top
U2,167.0075,-81.3625,270.0,top
U3,134.345501,-95.079999,0.0,top
U4,175.604499,-95.080001,0.0,top
U5,144.8698,-82.535,0.0,top
U6,135.2398,-82.51,0.0,top
Y1,155.42,-106.43,270.0,top
